151.jpg	54	59	121	126
15.jpg	63	6	123	66
103.jpg	211	120	283	192
3.jpg	113	100	195	182
70.jpg	128	55	184	111
6.jpg	117	191	192	266
277.jpg	87	186	283	382
12.jpg	95	43	134	82
16.jpg	146	104	184	142
14.jpg	130	74	186	130
17.jpg	184	79	246	141
18.jpg	47	33	82	68
19.jpg	35	39	83	87
20.jpg	176	77	259	160
21.jpg	65	54	107	96
22.jpg	88	115	205	232
24.jpg	230	82	305	157
319.jpg	72	102	160	190
179.jpg	78	100	237	259
214.jpg	51	132	136	217
28.jpg	88	65	142	119
29.jpg	112	52	163	103
30.jpg	179	71	227	119
34.jpg	174	84	255	165
36.jpg	65	98	164	197
38.jpg	123	74	199	150
147.jpg	150	78	219	147
150.jpg	51	89	204	242
44.jpg	103	45	161	103
158.jpg	153	65	226	138
48.jpg	119	79	182	142
51.jpg	156	81	233	158
52.jpg	78	63	144	129
54.jpg	152	82	224	154
55.jpg	30	26	92	88
87.jpg	113	71	186	144
58.jpg	70	13	102	45
63.jpg	101	74	165	138
66.jpg	106	47	152	93
69.jpg	70	46	180	156
306.jpg	131	183	217	269
215.jpg	120	155	201	236
72.jpg	90	60	154	124
165.jpg	141	38	184	81
75.jpg	104	68	157	121
240.jpg	126	127	205	206
80.jpg	63	38	87	62
107.jpg	55	57	114	116
119.jpg	132	40	171	79
84.jpg	81	62	174	155
287.jpg	83	92	155	164
280.jpg	62	42	104	84
89.jpg	119	57	173	111
90.jpg	223	66	284	127
92.jpg	90	29	218	157
93.jpg	184	87	237	140
137.jpg	54	85	168	199
100.jpg	158	70	210	122
102.jpg	58	76	92	110
104.jpg	101	107	230	236
105.jpg	94	37	134	77
108.jpg	67	38	93	64
111.jpg	67	53	101	87
112.jpg	69	25	102	58
234.jpg	57	51	153	147
253.jpg	109	50	165	106
122.jpg	56	39	95	78
149.jpg	96	128	196	228
125.jpg	64	61	116	113
129.jpg	102	129	255	282
132.jpg	70	57	97	84
138.jpg	105	38	157	90
140.jpg	122	57	188	123
267.jpg	169	61	230	122
148.jpg	82	56	139	113
155.jpg	100	37	219	156
156.jpg	66	81	130	145
161.jpg	65	34	103	72
162.jpg	74	28	104	58
232.jpg	157	72	224	139
169.jpg	37	81	112	156
172.jpg	70	43	148	121
174.jpg	53	44	96	87
176.jpg	140	57	189	106
177.jpg	49	43	79	73
281.jpg	119	80	215	176
181.jpg	61	49	107	95
182.jpg	102	66	137	101
183.jpg	91	29	123	61
189.jpg	66	32	94	60
192.jpg	72	36	105	69
194.jpg	107	32	144	69
196.jpg	88	68	158	138
200.jpg	69	36	105	72
201.jpg	102	56	189	143
207.jpg	143	23	209	89
208.jpg	166	82	219	135
216.jpg	78	70	143	135
217.jpg	64	41	100	77
219.jpg	74	83	127	136
220.jpg	139	53	185	99
230.jpg	153	96	227	170
237.jpg	63	109	145	191
245.jpg	119	112	203	196
246.jpg	90	107	144	161
249.jpg	84	60	164	140
255.jpg	195	57	254	116
256.jpg	79	139	213	273
259.jpg	64	29	93	58
264.jpg	107	128	226	247
274.jpg	149	34	214	99
282.jpg	173	29	204	60
285.jpg	195	50	236	91
291.jpg	87	36	121	70
292.jpg	115	135	255	275
299.jpg	49	31	80	62
301.jpg	42	141	125	224
302.jpg	186	66	256	136
305.jpg	78	21	114	57
308.jpg	96	30	138	72
309.jpg	24	29	90	95
314.jpg	221	66	278	123
316.jpg	260	48	321	109
